jogos_orientais,descontos_loja,estabilidade_online,jogos_first_party,dublagem_ptbr,class
true,true,false,true,false,Nintendo Switch
false,true,false,false,false,PS4
true,true,false,false,false,Xbox One
true,false,false,true,true,Vita
false,true,true,false,false,Vita
true,false,false,true,true,PS4
true,false,true,false,true,Nintendo Switch
true,true,false,true,false,Nintendo Switch
true,false,true,false,false,PC
true,true,false,true,false,Vita
false,false,true,false,true,Vita
false,true,true,true,true,PC
false,true,true,false,false,PS4
true,true,true,true,true,Nintendo Switch
false,true,false,true,false,Nintendo Switch
false,false,false,false,false,Vita
true,false,true,true,true,3DS
true,true,true,false,false,3DS
false,true,true,false,false,PC
true,true,true,true,false,Vita
true,true,true,true,true,Xbox One
true,false,true,false,true,PC
false,true,true,false,true,Vita
true,false,true,false,true,Vita
false,true,false,true,true,Nintendo Switch
true,false,true,false,false,PC
true,true,true,false,true,Nintendo Switch
true,true,false,false,true,3DS
false,false,false,true,true,PC
false,true,true,true,false,Xbox One
false,false,false,true,true,Xbox One
true,true,true,false,true,Vita
false,false,false,true,false,Vita
false,false,false,true,true,PC
true,true,false,false,false,PC
true,true,false,false,false,PC
false,false,false,true,true,Nintendo Switch
true,false,true,true,false,Vita
false,true,true,true,true,PS4
true,true,true,true,false,PS4
true,false,false,true,false,3DS
false,true,true,true,false,PS4
true,false,false,false,false,Vita
false,true,false,true,false,Nintendo Switch
true,true,false,true,false,PC
true,true,false,false,false,PC
false,true,true,false,false,PC
true,false,true,true,false,PS4
true,true,false,false,false,Vita
true,false,true,false,true,PC
false,false,true,false,true,Vita
false,false,false,false,true,3DS
true,true,false,false,true,Xbox One
true,false,false,false,false,Xbox One
false,true,false,false,false,Xbox One
false,false,true,true,true,PC
true,true,true,false,false,PC
false,false,false,true,false,Nintendo Switch
false,false,false,false,true,3DS
false,false,true,false,false,PS4
false,true,true,true,false,Vita
true,true,true,false,false,PC
false,true,true,true,false,3DS
false,true,true,false,false,Xbox One
false,true,true,true,true,Xbox One
true,false,true,true,true,PS4
true,true,false,false,false,Vita
true,false,false,false,false,3DS
true,true,true,false,true,3DS
false,false,false,true,false,Nintendo Switch
false,false,true,true,false,Vita
true,true,true,false,false,Nintendo Switch
false,false,false,false,true,PC
true,false,false,false,true,Nintendo Switch
false,true,true,true,false,Nintendo Switch
false,true,false,false,true,PS4
true,true,false,false,false,3DS
